,,,,,,Manual Data Entries,,,,,,Well:33M
Date,Time,In (ft),In (mm),Elevation (ft),,Date,Time,In (mm),,,,
3/11/21,9:45 AM,7.37,2247.85,15.01,,3/11/21,9:45 AM,2247.85,,,,
3/18/21,10:00 AM,8.18,2494.9,14.20,,3/18/21,10:00 AM,2494.9,,,,
3/21/21,10:45 AM,7.08,2159.4,15.30,,3/21/21,10:45 AM,2159.4,,Length from base:,1.6,
3/28/21,9:45 AM,6.96,2122.8,15.42,,3/28/21,9:45 AM,2122.8,,Length of string:,,
4/25/21,9:49 AM,6.94,2116.7,15.44,,4/25/21,9:49 AM,2116.7,,,,
5/2/21,-,#VALUE!,-,#VALUE!,,5/2/21,-,-,,,,
5/16/21,10:40 AM,7.98,2433.9,14.40,,5/16/21,10:40 AM,2433.9,,,,
5/24/21,10:35 AM,8.25,2516.25,14.13,,5/24/21,10:35 AM,2516.25,,,,
5/31/21,10:31 AM,8.33,2540.65,14.05,,5/31/21,10:31 AM,2540.65,,,,
6/5/21,10:21 AM,7.2,2196,15.18,,6/5/21,10:21 AM,2196,,,,
6/12/21,9:33 AM,7.59,2314.95,14.79,,6/12/21,9:33 AM,2314.95,,,,
6/19/21,11:15 AM,7.05,2149,15.34,,6/19/21,11:15 AM,2149,,,,
6/27/21,9:56 AM,6.69,2039,15.70,,6/27/21,9:56 AM,2039,,,,
7/9/21,10:19 AM,4.82,1469,17.57,,7/9/21,10:19 AM,1469,,,,
7/18/21,9:43 AM,4.84,1475,17.55,,7/18/21,9:43 AM,1475,,,,
7/23/21,10:05 AM,5.00,1524,17.39,,7/23/21,10:05,1524,,,,
7/31/21,11:05 AM,4.90,1494,17.49,,7/31/21,11:05,1494,,,,
8/7/21,10:24 AM,4.52,1378,17.87,,8/7/21,10:24,1378,,,,
8/13/21,10:28 AM,4.59,1399,17.80,,8/13/21,10:28,1399,,,,
8/21/21,10:29 AM,4.43,1350,17.96,,8/21/21,10:29,1350,,,,
8/27/21,2:29 PM,4.35,1326,18.04,,8/27/21,14:29,1326,,,,
9/3/21,2:43 PM,4.41,1344,17.98,,9/3/21,14:43,1344,,,,
9/11/21,10:10 AM,4.70,1433,17.69,,9/11/21,10:10,1433,,,,
9/17/21,2:20 PM,4.23,1289,18.16,,9/17/21,14:20,1289,,,,
9/25/21,10:21 AM,4.49,1369,17.90,,9/25/21,10:21,1369,,,,
10/2/21,11:05 AM,4.60,1402,17.79,,10/2/21,11:05,1402,,,,
10/8/21,2:14 PM,4.48,1366,17.90,,10/8/21,14:14,1366,,,,
10/22/21,2:30 PM,5.01,1527,17.38,,10/22/21,14:30,1527,,,,
